object-id,title,identifier,functional-category,material,vessel-form,artifact-dimensions,pigment-application,decoration-type,exterior-decoration-method,exterior-decoration-color,exterior-decoration-elements,interior-decoration-method,interior-decoration-color,interior-decoration-elements,marks,cdm-number
hjccc-84,Bottom of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11_3of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Other,"Etsuke (hand painted), Fukizumi (spatter stencil), Indeterminate","Cobalt blue, brown, orange","Sakura (cherry) blossom, indeterminate",,,,'MADE IN JAPAN' on base,83
hjccc-142,Sometsuke Senbori Gohan Jawan (rice/soup bowl with hand-painted cobalt and carved lines),AACC-MIN-98-22_1of1,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 12 cm, footring~ 4 cm, height= 6.5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),"Sometsuke (hand-painted cobalt), Choka (carving)",Cobalt blue,Take (Bamboo),None,None,None,None,142
hjccc-80,Side of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_1of4,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,76
hjccc-80,Side of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_2of4,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,77
hjccc-80,Top of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_3of4,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),,,,None,None,None,,78
hjccc-80,Bottom of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026_4of4,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,79
hjccc-75,Side of Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04_1of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,,,,,72
hjccc-75,Side fo Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04_2of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,,,,,73
hjccc-75,Bottom of Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04_3of3,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,,,,,74
hjccc-71,Side of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10_1of3,,Jiki (porcelain),Yunomi (teacup),,,Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",,,,,68
hjccc-71,Side of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10_2of3,,Jiki (porcelain),Yunomi (teacup),,,Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",,,,,69
hjccc-71,Base of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10_3of3,,Jiki (porcelain),Yunomi (teacup),,,Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",,,,,70
hjccc-67,Side of Suribachi (grinding bowl) [2],ACC-93-010_1of3,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,Iroyu (colored glaze),Reddish-brown,None,,,,,64
hjccc-67,Top of Suribachi (grinding bowl) [2],ACC-93-010_2of3,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,,,,None,None,None,,65
hjccc-67,Bottom of Suribachi (grinding bowl) [2],ACC-93-010_3of3,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,Iroyu (colored glaze),Reddish-brown,None,,,,'MADE IN JAPAN' on base,66
hjccc-157,Side of Saka-Bin (sake bottle) [2],CCC-82-08_1of2,,Hanjiki (half porcelain),Saka-Bin (sake bottle),,,Other,Iroyu (colored glaze),None,None,,,,,155
hjccc-157,Bottom of Saka-Bin (sake bottle) [2],CCC-82-08_2of2,,Hanjiki (half porcelain),Saka-Bin (sake bottle),,,Other,Iroyu (colored glaze),None,None,,,,,156
