object-id,Title,Catalog Number,Source,Description,Coverage,Date,Functional Category,Material,Vessel Form,Dimensions,Pigment Application,Decoration Type,Exterior Decoration Method,Exterior Decoration Color(s),Exterior Decoration Elements,Interior Decoration Method,Interior Decoration Color(s),Interior Decoration Elements,Marks,Origin,Manufacture Range,Publisher,Rights,Standardized Rights,Preferred Image Citation,Identifier,Metadata Creator,filename,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
hjccc-36,Side of Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B/2007/236,,,,,,Jiki (porcelain),,,,,Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,,,,,,,45SN398B-2007-236_2of2,,,,2018-02-07,2018-02-07,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/38,38,39.jp2,/HJCCC/image/39.jp2
hjccc-39,Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B/2007/236,"Burke Museum of Natural History and Culture, US Air Force Collection",The veins in the maple leaves on this kozara sherd are created using a sumi hajiki (resist) technique.  The base of the vessel features has a tokin kodaia or 'helmet foot' with a raised cone in the center of its footring (Simpson et al. 2014:54).,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Kozara (small dish),"Rim~ 12 cm, footring~ 6.5 cm, height= 2.5 cm",Shita-Etsuke (underglaze),Other,Etsuke (hand painted),Cobalt blue,Horizontal band around footring,Sumi Hajiki (ink resist),"Cobalt blue, pink",Kaede (maple),None,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/236, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-236,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/39,39,40.cpd,/HJCCC/image/40.cpd
hjccc-39,Top of Dobin No Futa (teapot lid),45SN398B/2007/254,,,,,,Sekki (vitrified stoneware),,,,Other,Iroyu (colored glaze),"Red, green, yellow, cobalt blue, black",,,,,,,,,,,,45SN398B-2007-254_1of2,,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/40,40,41.jp2,/HJCCC/image/41.jp2
hjccc-39,Side of Dobin No Futa (teapot lid),45SN398B/2007/254,,,,,,Sekki (vitrified stoneware),,,,Other,Iroyu (colored glaze),"Red, green, yellow, cobalt blue, black",,Iroyu (colored glaze) or possible slip,,,,,,,,,,45SN398B-2007-254_2of2,,,,2018-02-26,2018-02-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/41,41,42.jp2,/HJCCC/image/42.jp2
hjccc-42,Dobin No Futa (teapot lid),45SN398B/2007/254,"Burke Museum of Natural History and Culture, US Air Force Collection","This is most likely a dobin no futa based on the small vent hole, which is offset from the molded top handle.  The bright lead glazes on the exterior were popular at various kilns in Kyushu (Cort 2000:252).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Sekki (vitrified stoneware),Futa (lid),Rim= 8 cm,n/a,Other,Iroyu (colored glaze),"Red, green, yellow, cobalt blue, black",None,Iroyu (colored glaze) or possible slip,Grey,None,None,"Likely the Kyushu area, Japan",Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/254, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-254,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/42,42,43.cpd,/HJCCC/image/43.cpd
hjccc-42,Side of Kyusu No Totte (teapot handle),45SN398B/2007/270,,,,,,Jiki (porcelain),,,,Undecorated,None,None,None,,,,,,,,,,,45SN398B-2007-270_1of2,,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/43,43,44.jp2,/HJCCC/image/44.jp2
hjccc-42,Bottom of Kyusu No Totte (teapot handle),45SN398B/2007/270,,,,,,Jiki (porcelain),,,,,None,None,None,,,,,,,,,,,45SN398B-2007-270_2of2,,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/44,44,45.jp2,/HJCCC/image/45.jp2
hjccc-45,Kyusu No Totte (teapot handle),45SN398B/2007/270,"Burke Museum of Natural History and Culture, US Air Force Collection","This small, hollow handle is most likely from a kyusu. The diameter is approximately 2 cm at the rim and narrows to approximately 1 cm at the neck; the bore diameter measures approximately 0.5 cm.  Simpson et al. (2014:106) note that unless they are thrown by an experienced potter, teapot handles are often weak points in the vessel.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Kyusu (small teapot),See comments,None,Undecorated,None,None,None,None,None,None,None,Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/270, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-270,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/45,45,46.cpd,/HJCCC/image/46.cpd
hjccc-45,Interior of Sometsuke Katagami Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt stenciled three friends design),45SN398B/2007/278 and and 45SN398B/2007/295,,,,,,Jiki (porcelain),,,,Sometsuke Katagami (stencil cobalt),,,,Katagami (paper stencil),Cobalt blue,"Pendant Yoraku, horizontal band, Sho Chiku Bai (three friends)",,,,,,,,45SN398B-2007-278&295_1of2,,,,2018-02-08,2018-02-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/46,46,47.jp2,/HJCCC/image/47.jp2
hjccc-45,Exterior of Sometsuke Katagami Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt stenciled three friends design),45SN398B/2007/278 and and 45SN398B/2007/295,,,,,,Jiki (porcelain),,,,Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Sho Chiku Bai (three friends), horizontal band around footring",,,,,,,,,,,45SN398B-2007-278&295_2of2,,,,2018-02-08,2018-02-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/47,47,48.jp2,/HJCCC/image/48.jp2
hjccc-48,Sometsuke Katagami Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt stenciled three friends design),45SN398B/2007/278 and and 45SN398B/2007/295,"Burke Museum of Natural History and Culture, US Air Force Collection",Mending sherds of a katagami-stenciled gohan chawan. The interior decoration consists of a pendant yoraku rim and a center medallion containing sho chiku bai (three friends) elements.  The bowl exteriror also has depeictions of sho chiku bai in rounded and arched medalions and horzontal bands around the footring.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring= 4 cm, height= 5 cm",Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,"Sho Chiku Bai (three friends), horizontal band around footring",Katagami (paper stencil),Cobalt blue,"Pendant Yoraku, horizontal band, Sho Chiku Bai (three friends)",None,Japan,Most popular during the Meiji (1868-1912) era,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/278 and 295, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-278&295,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/48,48,49.cpd,/HJCCC/image/49.cpd
hjccc-48,Bottom of Toki (porous stoneware) Cup,45SN398B/2007/291,,,,,,Toki (porous stoneware),,,,Kohiki (slip dipped),None,None,None,,,,Impressed base mark that is not complete enough to translate,,,,,,,45SN398B-2007-291_1of2,,,,2018-02-08,2018-02-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/49,49,50.jp2,/HJCCC/image/50.jp2
hjccc-48,Side of Toki (porous stoneware) Cup,45SN398B/2007/291,,,,,,Toki (porous stoneware),,,,Kohiki (slip dipped),None,None,None,,,,,,,,,,,45SN398B-2007-291_2of2,,,,2018-02-08,2018-02-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/50,50,51.jp2,/HJCCC/image/51.jp2
hjccc-51,Toki (porous stoneware) Cup,45SN398B/2007/291,"Burke Museum of Natural History and Culture, US Air Force Collection",Toki cup sherd with an undecorated and unglazed exterior and a white slip interior that exhibits crazing. The cup's everted rim suggests it may be a sake cup (Ross 2012:10).,"Near Mukilteo, Washington",1903-1928,Indeterminate Tableware,Toki (porous stoneware),Unknown,"Rim~ 7 cm, footring~ 3 cm, height= 5 cm",n/a,Other,None,None,None,Kohiki (slip dipped),White,None,Impressed base mark that is not complete enough to translate,Japan,Meiji (1868-1912) through early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/291, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-291,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/51,51,52.cpd,/HJCCC/image/52.cpd
hjccc-51,Exterior of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B/2007/1450.1,,,,,,Jiki (porcelain),,,,Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,,,,,,,,,,,45SN398B-2007-1450.1_1of2,,,,2018-02-08,2018-02-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/52,52,53.jp2,/HJCCC/image/53.jp2
hjccc-51,Side of Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B/2007/1450.1,,,,,,Jiki (porcelain),,,,,,,,None,None,None,None,,,,,,,45SN398B-2007-1450.1_2of2,,,,2018-02-08,2018-02-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/53,53,54.jp2,/HJCCC/image/54.jp2
hjccc-54,Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [3],45SN398B/2007/1450.1,"Burke Museum of Natural History and Culture, US Air Force Collection",Sherd has V-shaped walls; the size and shape indicate a gohan chawan.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim~ 11 cm, footring~ 4.5 cm, height= 5.5 cm",Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band around footring,None,None,None,None,Japan,Minimalistic hand-painted sometsuke may indicate Taisho-era (1912-1926) manufacture,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1450.1, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1450.1,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/54,54,55.cpd,/HJCCC/image/55.cpd
hjccc-54,Exterior of Doban Sakazuki (transferprint sake cup),45SN398B/2007/1908,,,,,,Jiki (porcelain),,,,,Doban or Doban Tensha (transferprinted),"Green, brown","Horizontal band around footring, landscape",,,,,,,,,,,45SN398B-2007-1908_1of2,,,,2018-02-26,2018-02-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/55,55,56.jp2,/HJCCC/image/56.jp2
hjccc-54,Interior of Doban Sakazuki (transferprint sake cup),45SN398B/2007/1908,,,,,,Jiki (porcelain),,,,,,,,None,None,None,None,,,,,,,45SN398B-2007-1908_2of2,,,,2018-02-26,2018-02-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/56,56,57.jp2,/HJCCC/image/57.jp2
hjccc-57,Doban Sakazuki (transferprint sake cup),45SN398B/2007/1908,"Burke Museum of Natural History and Culture, US Air Force Collection","Nearly half of a green and brown transferprint sakazuki (sake cup) with an everted rim. The exterior has a landscape scene with deciduous trees, mountains, and possible houses.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Jiki (porcelain),Sakazuki (indeterminate sake cup),"Rim~ 7 cm, footring= 3 cm, height= 4.5 cm",Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),"Green, brown","Horizontal band around footring, landscape",None,None,None,None,Japan,Most popular in the late Taisho (1912-1926) and early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1908, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1908,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/57,57,58.cpd,/HJCCC/image/58.cpd
hjccc-57,Exterior of Sansui Dobin (landscape teapot),45SN398B/2007/1605,,,,,,,,,,,Etsuke (hand painted),"Yellow, brown, green, white",Yama (mountain),,,,,,,,,,,45SN398B-2007-1605_1of2,,,,2018-02-26,2018-02-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/61,61,62.jp2,/HJCCC/image/62.jp2
hjccc-57,Interior of Sansui Dobin (landscape teapot),45SN398B/2007/1605,,,,,,,,,,,,,,None,None,None,None,,,,,,,45SN398B-2007-1605_2of2,,,,2018-02-26,2018-02-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/62,62,63.jp2,/HJCCC/image/63.jp2
hjccc-63,Sansui Dobin (landscape teapot) Compound Object,45SN398B/2007/1605,"Burke Museum of Natural History and Culture, US Air Force Collection","Sansui Dobin rim sherd.  The exterior is dipped in white slip (kohiki), hand-painted with splotches of copper-green glaze and an iron-brown linear landscape, then sealed under a colorless glaze; the vessel interior is left unglazed and undecorated.  These teapots were widely distributed on the domestic market and became an iconic favorite of Mingei co-founder Yanagi Soetsu in the 1920s and 1930s (Brandt 1996; Cort 2000:230).  Minagawa Masu (1875-1960), who worked throughout Mashiko, is known for painting the brown and green linear landscapes characteristic of this style (Crueger et al. 2006:220).  Examples of her work are captured in a 1934 film by Bernard Leach and look strikingly similar to the example in this collection (Gross 1984).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware,Toki (porous stoneware),Dobin (teapot),Rim~ 11 cm,Shita-Etsuke (underglaze),Other,Etsuke (hand painted),"Yellow, brown, green, white",Yama (mountain),None,None,None,None,"Likely either Koyama in the Shigaraki region or Mashiko in the northern Kanto region, Japan",Most popular in the Taisho (1912-1926) and early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/1605, US Air Force Collection, held in trust at the Burke Museum, Seattle.  See citation guidelines.",45SN398B-2007-1605,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/63,63,64.cpd,/HJCCC/image/64.cpd
hjccc-63,Side of Suribachi (grinding bowl) [2],ACC-93-010,,,,,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,Iroyu (colored glaze),Reddish-brown,None,,,,,,,,,,,ACC-93-010_1of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/64,64,67.jp2,/HJCCC/image/67.jp2
hjccc-63,Top of Suribachi (grinding bowl) [2],ACC-93-010,,,,,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,,,,None,None,None,,,,,,,,ACC-93-010_2of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/65,65,68.jp2,/HJCCC/image/68.jp2
hjccc-63,Bottom of Suribachi (grinding bowl) [2],ACC-93-010,,,,,,Toki (porous stoneware),Suribachi (grinding bowl),,,Other,Iroyu (colored glaze),Reddish-brown,None,,,,'MADE IN JAPAN' on base,,,,,,,ACC-93-010_3of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/66,66,69.jp2,/HJCCC/image/69.jp2
hjccc-67,Suribachi (grinding bowl) [2],ACC-93-010,Asian American Comparative Collection,Suribachi are used for grinding ingredients like sesame seeds and for mixing miso with other ingredients (Ross 2012:13-14). This bowl has an unglazed interior surface that has been combed (kushime) to create parallel incised lines that form an abrasive surface (Simpson 2014:58.89). The exterior has a brown glaze that extends over the rim.,,,Food Preparation,Toki (porous stoneware),Suribachi (grinding bowl),"Rim= 16 cm, footring= 8 cm, height= 7 cm",n/a,Other,Iroyu (colored glaze),Reddish-brown,None,None,None,None,'MADE IN JAPAN' on base,Japan,Meiji (1868-1912) through Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Asian American Comparative Collection, catalog no. ACC-93-010. See citation guidelines.",ACC-93-010,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/67,67,70.cpd,/HJCCC/image/70.cpd
hjccc-67,Side of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10,,,,,,Jiki (porcelain),Yunomi (teacup),,,Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",,,,,,,,,,,ACC-88-10_1of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/68,68,71.jp2,/HJCCC/image/71.jp2
hjccc-67,Side of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10,,,,,,Jiki (porcelain),Yunomi (teacup),,,Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",,,,,,,,,,,ACC-88-10_2of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/69,69,72.jp2,/HJCCC/image/72.jp2
hjccc-67,Base of Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10,,,,,,Jiki (porcelain),Yunomi (teacup),,,Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",,,,,,,,,,,ACC-88-10_3of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/70,70,73.jp2,/HJCCC/image/73.jp2
hjccc-71,Kuro Fukizumi Take Yunomi (teacup with black stenciled bamboo design),ACC-88-10,Asian American Comparative Collection,"This yunomi is decorated with fukizumi- stenciled black pigment that creates a bamboo stalk and several leaves. Though other forms of stenciling declined in the Taisho period, fukizumi has remained in use (Crueger et al. 2001:51,286; Ross 2009:155). Hand painting and several ink resist lines are used to create small branches and veins in the bamboo leaves. The vessel also has a single reddish-brown band along the rim and a footring with a circular recess in the center that resembles a janome (bull's-eye or snake-eye recess) (Ross 2012:10).",,,Mealtime Tableware,Jiki (porcelain),Yunomi (teacup),"Rim= 8 cm, footring= 3.5 cm, height= 5 cm",Shita-Etsuke (underglaze),Other,"Fukizumi (spatter stencil), Etsuke (hand painted), SumiHajiki (ink resist)","Black, reddish-brown","Take (bamboo), horizontal band around rim",None,None,None,None,Japan,Likely Taisho (1912-1926) through pre-WWII Showa (1926-1942) era,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Asian American Comparative Collection, catalog no. ACC-88-10. See citation guidelines.",ACC-88-10,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/71,71,74.cpd,/HJCCC/image/74.cpd
hjccc-71,Side of Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,,,,,,,,,,,ACC-88-04_1of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/72,72,75.jp2,/HJCCC/image/75.jp2
hjccc-71,Side fo Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,,,,,,,,,,,ACC-88-04_2of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/73,73,76.jp2,/HJCCC/image/76.jp2
hjccc-71,Bottom of Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,,,,,,,,,,,ACC-88-04_3of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/74,74,77.jp2,/HJCCC/image/77.jp2
hjccc-75,Sometsuke Doban Matsu Gohan Jawan (rice/soup bowl with cobalt transferprinted pine tree),ACC-88-04,Asian American Comparative Collection,"This gohan chawan is decorated with a transferprint image of a pine tree and several horizontal carved bands on the exterior. Wooden knives, bamboo tools, or metal instruments are often used to carve lines such as these into ceramic forms (Gorham 1971:209-210; Simpson et al. 2014:60). The interior of the vessel is undecorated. This vessel was donated to the AACC by the Palouse Asian American Association.",,,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim= 12 cm, footring= 4.1 cm, height= 4.8 cm",Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),"Doban or Doban Tensha (transferprinted), Choka (carving)",Cobalt blue,Matsu (pine) tree,None,None,None,None,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Asian American Comparative Collection, catalog no. ACC-88-04. See citation guidelines.",ACC-88-04,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/75,75,78.cpd,/HJCCC/image/78.cpd
hjccc-75,Side of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,,,,,,,ACC-86-026_1of4,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/76,76,79.jp2,/HJCCC/image/79.jp2
hjccc-75,Side of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,,,,,,,ACC-86-026_2of4,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/77,77,80.jp2,/HJCCC/image/80.jp2
hjccc-75,Top of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),,,,None,None,None,,,,,,,,ACC-86-026_3of4,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/78,78,81.jp2,/HJCCC/image/81.jp2
hjccc-75,Bottom of Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,,,,,,,ACC-86-026_4of4,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/79,79,82.jp2,/HJCCC/image/82.jp2
hjccc-80,Sometsuke Doban Botan Gohan Jawan (rice/soup bowl with cobalt transferprinted peony),ACC-86-026,Asian American Comparative Collection,"This small gohan chawan is transferprinted on the exterior only. Two images of botan, or peony, decorate the outside of the vessel (Dower 1971:70). This vessel was donated to the AACC by John Eldredge.",,,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),"Rim= 11 cm, footring= 3.8 cm, height= 5 cm",Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),None,None,None,None,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/publicdomain/mark/1.0/,"Photo courtesy of the Asian American Comparative Collection, catalog no. ACC-86-026. See citation guidelines.",ACC-86-026,Renae Campbell,,,2018-05-31,2018-05-31,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/80,80,83.cpd,/HJCCC/image/83.cpd
hjccc-80,Side of Iro Fukizumi Gohan Jawan (polychrome stenciled rice/soup bowl),AACC-MIN-98-11,,,,,,Jiki (porcelain),Gohan Chawan (rice/soup bowl),,,Other,"Etsuke (hand painted), Fukizumi (spatter stencil), Indeterminate","Cobalt blue, brown, orange","Sakura (cherry) blossom, indeterminate",,,,,,,,,,,AACC-MIN-98-11_1of3,,,,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/HJCCC/id/81,81,84.jp2,/HJCCC/image/84.jp2
